# fichier jupiter.txt
####################################
# days between two positions: 173 
# first line date:  6/ 3/2021
####################################
X (au)              Y (au)              
3.3859              -3.7815             
4.2178              -2.7291             
4.7563              -1.4863             
4.9554              -0.1367             
4.7949              1.2235              
4.2838              2.495               
3.4607              3.5857              
2.3889              4.4198              
1.1492              4.9447              
-0.169              5.1336              
-1.4765             4.9857              
-2.6908             4.5224              
-3.7409             3.7832              
-4.5701             2.8211              
-5.1373             1.6978              
-5.417              0.4801              
-5.3985             -0.7631             
-5.086              -1.9638             
-4.4971             -3.0567             
-3.6626             -3.9812             
-2.6255             -4.684              
-1.4406             -5.1206             
-0.1729             -5.2587             
1.1042              -5.0807             
2.3116              -4.5868             
3.3694              -3.7976             
