# fichier mercury.txt
####################################
# days between two positions: 1 
# first line date:  1/ 1/2021
####################################
X (au)              Y (au)              
0.237               -0.358              
0.2544              -0.3404             
0.2708              -0.3216             
0.2862              -0.3015             
0.3004              -0.2802             
0.3134              -0.2577             
0.325               -0.2341             
0.3352              -0.2095             
0.3438              -0.1838             
0.3507              -0.1573             
0.3558              -0.13               
0.359               -0.102              
0.3602              -0.0734             
0.3593              -0.0444             
0.3562              -0.0151             
0.3508              0.0143              
0.343               0.0436              
0.3328              0.0726              
0.3201              0.101               
0.3049              0.1287              
0.2873              0.1553              
0.2672              0.1805              
0.2448              0.2042              
0.2201              0.2261              
0.1934              0.2458              
0.1648              0.2631              
0.1346              0.2778              
0.103               0.2898              
0.0704              0.2988              
0.0371              0.3048              
0.0034              0.3076              
-0.0303             0.3074              
-0.0638             0.3042              
-0.0966             0.298               
-0.1285             0.289               
-0.1592             0.2773              
-0.1886             0.2632              
-0.2163             0.2468              
-0.2422             0.2284              
-0.2663             0.2082              
-0.2883             0.1864              
-0.3083             0.1634              
-0.3262             0.1392              
-0.342              0.1141              
-0.3557             0.0883              
-0.3672             0.0619              
-0.3767             0.0352              
-0.3842             0.0084              
-0.3897             -0.0186             
-0.3932             -0.0454             
-0.3949             -0.072              
-0.3948             -0.0983             
-0.393              -0.1241             
-0.3896             -0.1495             
-0.3846             -0.1742             
-0.378              -0.1983             
-0.37               -0.2216             
-0.3607             -0.2441             
-0.3501             -0.2657             
-0.3382             -0.2864             
-0.3252             -0.3061             
-0.3112             -0.3248             
-0.2961             -0.3424             
-0.28               -0.359              
-0.2631             -0.3744             
-0.2454             -0.3887             
-0.2269             -0.4017             
-0.2078             -0.4136             
-0.188              -0.4243             
-0.1677             -0.4337             
-0.1468             -0.4418             
-0.1256             -0.4486             
-0.104              -0.4541             
-0.0821             -0.4583             
-0.0599             -0.4612             
-0.0376             -0.4627             
-0.0151             -0.4629             
0.0074              -0.4617             
0.0298              -0.4591             
0.0522              -0.4551             
0.0744              -0.4498             
0.0964              -0.4431             
0.1181              -0.4349             
0.1394              -0.4255             
0.1603              -0.4146             
0.1806              -0.4023             
0.2003              -0.3887             
0.2193              -0.3738             
