# fichier mars.txt
####################################
# days between two positions: 27 
####################################
X (au)              Y (au)              
-0.2254             1.5725              
-0.5761             1.5098              
-0.8976             1.3703              
-1.1753             1.1637              
-1.3973             0.9018              
-1.554              0.5979              
-1.6384             0.266               
-1.6458             -0.0782             
-1.5742             -0.4186             
-1.4243             -0.7381             
-1.2003             -1.0191             
-0.9103             -1.2437             
-0.5672             -1.3953             
-0.1887             -1.4591             
0.2022              -1.4247             
0.5783              -1.2879             
0.9102              -1.0534             
1.17                -0.7356             
1.335               -0.3583             
1.392               0.048               
1.339               0.4507              
1.1842              0.8195              
0.9443              1.1296              
0.6407              1.3641              
0.2967              1.5132              
-0.0649             1.5736              
